article_key,symbol,provider,source_name,source_url,title,content_excerpt,published_at,available_at,fetched_at,availability_basis,entity_match_method,entity_confidence,event_type,sentiment_score,sentiment_label,analysis_method
2aafdfc29384ecd237a8501c83ecab572bf2436002885feda858bc3144483fc8,HHV,vnstock:VCI,vnstock:VCI,,"HHV: Công ty Cổ phần Tập đoàn Đèo Cả đăng ký mua gần 6,6 triệu cổ phiếu",,2026-03-03 10:41:00+00:00,2026-03-03 10:41:00+00:00,2026-08-13 18:02:59.353720+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
a364fd09a6cde3b15da6b467d07b3337c89250b952553f2888fd25fcbc7bdf96,HHV,vnstock:VCI,vnstock:VCI,,HHV: Thông báo về ngày đăng ký cuối cùng tổ chức ĐHĐCĐ thường niên năm 2026,,2026-03-05 10:39:00+00:00,2026-03-05 10:39:00+00:00,2026-08-13 18:02:59.353720+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
e066096d5cf61188b4ce0150aa807a4811a141bcd8c5f63596a44b8869138672,HHV,vnstock:VCI,vnstock:VCI,,HHV: Nghị quyết HĐQT chấp thuận việc ký kết hợp đồng xây dựng với Công ty TNHH BOT Cao tốc Sài Gòn - Mỹ Thuận,,2026-03-10 10:25:37+00:00,2026-03-10 10:25:37+00:00,2026-08-13 18:02:59.353720+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
5a8222044bfe0a4d6af553ef8bb73e05c41af50c1f0fb7b4b8ef47e19505188e,HHV,vnstock:VCI,vnstock:VCI,,HHV: Nghị quyết HĐQT số 09/2026 ngày 10/03/2026,,2026-03-10 10:26:47+00:00,2026-03-10 10:26:47+00:00,2026-08-13 18:02:59.353720+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
babdf57b2048548b1fb1c1bd6522b23368f8057b3559f5051a02bf6067f05f2e,HHV,vnstock:VCI,vnstock:VCI,,"HHV: Nghị quyết HĐQT chấp thuận việc ký kết và thực hiện hợp đồng, giao dịch với người có liên quan trong năm 2026",,2026-03-10 10:28:35+00:00,2026-03-10 10:28:35+00:00,2026-08-13 18:02:59.353720+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
cef14ca6233d25821755ca706600ff208c069918ceea49715f0636df46202ad4,HHV,vnstock:VCI,vnstock:VCI,,HHV: Báo cáo kết quả giao dịch mua cổ phiếu của tổ chức có liên quan đến người nội bộ CTCP Tập đoàn Đèo Cả,,2026-03-12 10:02:00+00:00,2026-03-12 10:02:00+00:00,2026-08-13 18:02:59.353720+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
bc53268620c385659f8ab2f6ea0f21480900693955bc8686eaf28a46d0b142a2,HHV,vnstock:VCI,vnstock:VCI,,HHV: Thông báo thay đổi số lượng cổ phiếu có quyền biểu quyết,,2026-03-12 10:06:29+00:00,2026-03-12 10:06:29+00:00,2026-08-13 18:02:59.353720+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
cbb46d731265488e685b67ea26c195b7c3d29b0f452d21b71bb22e0aac4b5b1e,HHV,vnstock:VCI,vnstock:VCI,,HHV: Nghị quyết HĐQT về việc thông qua kết quả chào bán thêm cổ phiếu ra công chúng cho CĐHH năm 2025,,2026-03-12 10:07:35+00:00,2026-03-12 10:07:35+00:00,2026-08-13 18:02:59.353720+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
d49959be4c63402049bb0dede8ac118a531d2dc2316cbdb4e510939ecdefe6d2,HHV,vnstock:VCI,vnstock:VCI,,HHV: Báo cáo kết quả đợt chào bán cổ phiếu ra công chúng,,2026-03-12 10:08:13+00:00,2026-03-12 10:08:13+00:00,2026-08-13 18:02:59.353720+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
3fecfdb1192b95b1fada54019dcc5849bfb294b9bbaa25c31ccd76fe9cf99479,HHV,vnstock:VCI,vnstock:VCI,,HHV: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến Người nội bộ Công ty Cổ phần Tập đoàn Đèo Cả,,2026-03-12 10:10:11+00:00,2026-03-12 10:10:11+00:00,2026-08-13 18:02:59.353720+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
