article_key,symbol,provider,source_name,source_url,title,content_excerpt,published_at,available_at,fetched_at,availability_basis,entity_match_method,entity_confidence,event_type,sentiment_score,sentiment_label,analysis_method
a697d40a5b783df9f69111187e4a3296c1b84f31bbcb7184882f1c3be0731ab5,VCB,vnstock:VCI,vnstock:VCI,,VCB: Quyết định về việc chuyển đổi Chi nhánh VCB Nghi Sơn thành PGD Nghi Sơn thuộc Chi nhánh VCB Thanh Hóa,,2025-12-10 11:32:00+00:00,2025-12-10 11:32:00+00:00,2026-08-12 15:35:55.895905+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
1f4bc308b06744449294292317b70ef0496c551c33c127b4742796df21f8290e,VCB,vnstock:VCI,vnstock:VCI,,VCB: Thông báo thay đổi Giấy phép thành lập và hoạt động của VCB,,2025-12-11 10:26:29+00:00,2025-12-11 10:26:29+00:00,2026-08-12 15:35:55.895905+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
9aa1d130616962db0290d20369492e82be68e144c7ade0a78901466a1db9ff64,VCB,vnstock:VCI,vnstock:VCI,,VCB: Nghị quyết HĐQT về việc phê duyệt chủ trương thay đổi địa điểm trụ sở Chi nhánh Bình Dương,,2025-12-12 10:56:31+00:00,2025-12-12 10:56:31+00:00,2026-08-12 15:35:55.895905+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
b74b7651158af6d0fbcf4569542476441b4c372a3a850935bdf0203793056ff6,VCB,vnstock:VCI,vnstock:VCI,,VCB: Nghị quyết HĐQT về việc phê duyệt phương án phát hành trái phiếu riêng lẻ năm 2025,,2025-12-12 10:57:26+00:00,2025-12-12 10:57:26+00:00,2026-08-12 15:35:55.895905+00:00,published_at,provider_symbol_query,0.8,corporate_action,0.0,neutral,keyword_heuristic_v1
5db2f387a6057db06d9d2654321a10318d47dcdb18affcb5c70f23459902e86b,VCB,vnstock:VCI,vnstock:VCI,,VCB: Thông báo nhận được công văn của NHNN Chi nhánh Khu vực 14 về việc thống nhất chủ trương thay đổi Chi nhánh quản lý PGD của VCB tại TP. Cần Thơ,,2025-12-16 08:44:59+00:00,2025-12-16 08:44:59+00:00,2026-08-12 15:35:55.895905+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
a6d63cc5803de0b2bca59c115395559c842d181e3c494595b6ac81dec24293e9,VCB,vnstock:VCI,vnstock:VCI,,VCB: Nghị quyết HĐQT về việc phê duyệt chủ trương thay đổi địa điểm trụ sở Chi nhánh Đông Bình Dương,,2025-12-23 11:14:50+00:00,2025-12-23 11:14:50+00:00,2026-08-12 15:35:55.895905+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
aacde7e3d3c4619281f48787a6411e347f4409bb8a2cffa242bebc35733f4640,VCB,vnstock:VCI,vnstock:VCI,,VCB: HĐQT phê duyệt tăng vốn điều lệ cho công ty con,,2025-12-26 11:49:57+00:00,2025-12-26 11:49:57+00:00,2026-08-12 15:35:55.895905+00:00,published_at,provider_symbol_query,0.8,governance,1.0,positive,keyword_heuristic_v1
449c320b018c3fd0c431d40c0c1355089b2c5ba1ccade0c36613e89348353aca,VCB,vnstock:VCI,vnstock:VCI,,Vietcombank lên kế hoạch rót thêm 10.000 tỷ vào VCBS,,2025-12-29 01:01:00+00:00,2025-12-29 01:01:00+00:00,2026-08-12 15:35:55.895905+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
aa7b372dade0c2e6b6604e1eba615f284e3cac8170ddb5bbcb0b55922cfd2035,VCB,vnstock:VCI,vnstock:VCI,,"Đến cuối năm 2025, tín dụng Vietcombank (VCB) tăng 15%, VCBNeo ghi nhận mức lợi nhuận hơn 1.800 tỷ đồng",,2025-12-31 09:50:00+00:00,2025-12-31 09:50:00+00:00,2026-08-12 15:35:55.895905+00:00,published_at,provider_symbol_query,0.8,earnings,1.0,positive,keyword_heuristic_v1
751897fc89320785a25230922bbb4d8ccd8c3ae2f46fb772a75c24a8552de71c,VCB,vnstock:VCI,vnstock:VCI,,VCB: HĐQT phê duyệt nội dung thỏa thuận hợp tác thực hiện giao dịch CCTG giữa VCB và VCBS,,2025-12-31 11:19:54+00:00,2025-12-31 11:19:54+00:00,2026-08-12 15:35:55.895905+00:00,published_at,provider_symbol_query,0.8,governance,1.0,positive,keyword_heuristic_v1
